,Bandwidth,Size,MaxTime,NumParticles,NumProcesses,ReadWrite
0,1085.8086,63165824,0.06165024,1000000,1,Write
1,2729.926,63165824,0.02258912,1000000,1,Read
2,3632.8,126331648,0.03319272,1000000,2,Write
3,6044.252,126331648,0.01994108,1000000,2,Read
4,5810.886,252663296,0.04164128,1000000,4,Write
5,9589.666,252663296,0.0251751,1000000,4,Read
6,6667.916,505326592,0.07234792,1000000,8,Write
7,10244.42,505326592,0.04704874,1000000,8,Read
8,2329.224,120165824,0.0492093,2500000,1,Write
9,3313.738,120165824,0.0345875,2500000,1,Read
10,4233.888,240331648,0.05414168,2500000,2,Write
11,6253.642,240331648,0.03665352,2500000,2,Read
12,6837.8,480663296,0.06711832,2500000,4,Write
13,9792.48,480663296,0.04683852,2500000,4,Read
14,7367.284,961326592,0.1245166,2500000,8,Write
15,9865.304,961326592,0.09297076,2500000,8,Read
16,2527.67,215165824,0.08118324,5000000,1,Write
17,3412.65,215165824,0.06018738,5000000,1,Read
18,4581.118,430331648,0.08959818,5000000,2,Write
19,6383.514,430331648,0.06429356,5000000,2,Read
20,7327.45,860663296,0.112127,5000000,4,Write
21,9524.35,860663296,0.08654756,5000000,4,Read
22,7842.948,1721326592,0.2093936,5000000,8,Write
23,9380.7,1721326592,0.1750172,5000000,8,Read
24,2746.806,405165824,0.140676,10000000,1,Write
25,3476.386,405165824,0.1111524,10000000,1,Read
26,4854.924,810331648,0.1591878,10000000,2,Write
27,6341.892,810331648,0.1218698,10000000,2,Read
28,7655.254,1620663296,0.2020736,10000000,4,Write
29,9451.604,1620663296,0.1635454,10000000,4,Read
30,4103.908,3241326592,0.8192796,10000000,8,Write
31,11542.272,3241326592,0.2702614,10000000,8,Read
32,2965.166,975165824,0.3136684,25000000,1,Write
33,3549.63,975165824,0.2620124,25000000,1,Read
34,5088.254,1950331648,0.3655716,25000000,2,Write
35,6360.87,1950331648,0.2924208,25000000,2,Read
36,2561.35,3900663296,1.726039,25000000,4,Write
37,9167.562,3900663296,0.4059076,25000000,4,Read
38,1650.644,7801326592,5.814068,25000000,8,Write
39,2061.642,7801326592,3.676022,25000000,8,Read
40,2802.36,1925165824,0.6551878,50000000,1,Write
41,3353.002,1925165824,0.5478978,50000000,1,Read
42,2029.68,3850331648,2.1436244,50000000,2,Write
43,6192.816,3850331648,0.5930724,50000000,2,Read
44,1484.8652,7700663296,6.081324,50000000,4,Write
45,2694.974,7700663296,2.780342,50000000,4,Read
46,260.5768,15401326592,56.79486,50000000,8,Write
47,1280.3828,15401326592,12.429404,50000000,8,Read
